segment_1|Hello everyone, welcome to Yoga with Adriene. I'm Adriene. We have|Hello everyone, welcome to Yoga with Adriene. I'm Adriene. We have
segment_2|practice in this series. I'm so grateful you're here.|practice in this series. I'm so grateful you're here.
segment_3|Let's begin in a nice, comfortable seated position of your choice.|Let's begin in a nice, comfortable seated position of your choice.
segment_4|Let's begin to ground into this session here together right away.|Let's begin to ground into this session here together right away.
segment_5|By sitting up nice and tall, inviting the eyes.|By sitting up nice and tall, inviting the eyes.
segment_6|Really lean into this felt sense of the moment, whether that's|Really lean into this felt sense of the moment, whether that's
segment_7|But building on that, really beginning to get a sense of|But building on that, really beginning to get a sense of
segment_8|time and space to really return to.|time and space to really return to.
segment_9|what's going on versus miss it altogether or ignore it.|what's going on versus miss it altogether or ignore it.
segment_10|Then we'll draw the palms together as you continue to gently deepen the breath.|Then we'll draw the palms together as you continue to gently deepen the breath.
segment_11|And then on your next inhale, let's send the fingertips down and out, left to right, and then all the way up.|And then on your next inhale, let's send the fingertips down and out, left to right, and then all the way up.
segment_12|As you exhale, bring the palms down through center and back through your heart space. Keep it going. Inhale, reach it up.|As you exhale, bring the palms down through center and back through your heart space. Keep it going. Inhale, reach it up.
segment_13|Exhale, grounding down, palms melt to heart.|Exhale, grounding down, palms melt to heart.
segment_14|Exhale, palms all the way down. Beautiful. We're going to twist gently to the left.|Exhale, palms all the way down. Beautiful. We're going to twist gently to the left.
segment_15|Hoo, hoo, hoo, lovely. Now come back to center.|Hoo, hoo, hoo, lovely. Now come back to center.
segment_16|Right away, bring the knees wide, big toes to touch.|Right away, bring the knees wide, big toes to touch.
segment_17|the sound of the breath. So let the sound of the breath be your anchor, whether you tap into that ujjayi, ocean sound,|the sound of the breath. So let the sound of the breath be your anchor, whether you tap into that ujjayi, ocean sound,
segment_18|We'll ground through the fingertips, ground through the tops of the feet.|We'll ground through the fingertips, ground through the tops of the feet.
segment_19|We'll shift the heart space towards the left side of the mat as you slowly carve a line with the nose forward. Come all the way forward on the inhale.|We'll shift the heart space towards the left side of the mat as you slowly carve a line with the nose forward. Come all the way forward on the inhale.
